cluster_label,nb_cells,clone_desc,cluster_color
Clone1,16440,eBFP2,#fbeb14
Clone3,7,"eBFP2, tSapphire",#7fbf7f
Clone4,96542,Venus,#008040
Clone5,807,"eBFP2, Venus",#c06000
Clone6,4,"tSapphire, Venus",#cc99a2
Clone7,14,"eBFP2, tSapphire, Venus",#ffc0cb
Clone8,74913,tdTomato,#408000
Clone9,1187,"eBFP2, tdTomato",#b266b2
Clone12,1039,"Venus, tdTomato",#198c19
Clone13,12,"eBFP2, Venus, tdTomato",#7f7fff
Clone15,2,"eBFP2, tSapphire, Venus, tdTomato",#540a87
Clone16,795,Katushka,#e31f50
Clone17,79,"eBFP2, Katushka",#af9210
Clone19,2,"eBFP2, tSapphire, Katushka",#463a06
Clone20,30,"Venus, Katushka",#d7c887
Clone24,481,"tdTomato, Katushka",#400f4d
Clone25,10,"eBFP2, tdTomato, Katushka",#73c8da
Clone28,3,"Venus, tdTomato, Katushka",#eb9710
